eegRawValue,attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,Value
-7,90,40,1616977,103148,30523,16748996,21637,16763854,4704,2422,Tag0,A
381,90,40,1070209,23825,5475,4962,3805,624,549,16777200,Tag0,A
-262,83,41,91593,16750881,13926,7241,6868,2117,2333,1554,Tag0,A
0,75,51,2448397,81933,25610,16750678,20250,15532,2936,720,Tag0,A
3,50,43,954498,442725,56268,16765073,16756558,14445,11899,1023,Tag0,A
-262,53,54,1571818,16759369,16752132,18557,29200,6102,13280,1108,Tag0,A
4,64,53,118314,16774834,16251,24620,21531,8635,7195,1694,Tag0,A
49,61,41,70092,44933,15850,12130,11025,12478,10140,1965,Tag0,A
61,81,47,93555,77398,12348,29597,7982,12332,3723,4479,Tag0,A
-307,81,27,28176,67272,5323,5671,4480,4232,6269,2229,Tag0,A
24,66,40,1141889,16767146,22434,16763682,5946,3689,2558,444,Tag0,A
-411,54,53,505178,84620,16763042,9099,13987,4744,5283,2879,Tag0,A
397,44,53,132984,21522,1306,11635,3108,1815,605,16777131,Tag0,A
76,40,66,400776,21811,9417,3290,3782,1361,1058,365,Tag0,A
-1223,40,47,525636,607765,75723,16750280,18843,22190,6016,1830,Tag0,A
91,63,34,1147753,218552,16751343,25767,66396,87239,4532,7608,Tag0,A
-283,60,23,1163266,43738,21891,6030,10157,6083,1180,223,Tag0,A
58,50,13,309372,290822,16764710,3293,4940,6565,4117,1209,Tag0,A
17,53,1,146907,74847,1100,2149,1020,3088,2230,555,Tag0,A
28,27,3,93468,77407,4496,8563,6016,3499,4000,4317,Tag0,A
41,41,29,12321,6565,21227,9413,1920,5340,4688,2786,Tag0,A
102,56,47,6981,23712,10484,6845,2909,2446,3756,2046,Tag0,A
55,61,83,16773446,20167,16763129,4795,5400,4623,3588,1536,Tag0,A
32,77,88,24820,16760100,13074,6834,6847,10060,4044,2531,Tag0,A
-276,75,75,17160,30887,18497,6340,7758,6692,5742,1904,Tag0,A
60,93,74,10222,13408,9560,1291,2410,6616,4532,1839,Tag0,A
71,100,48,73498,16753099,3953,5140,4495,7211,6847,1229,Tag0,A
5,100,50,29299,21918,6573,2382,2947,4513,9643,2469,Tag0,A
12,100,53,31416,20572,11404,14877,4366,4910,8255,2270,Tag0,A
-289,100,50,18251,23126,10419,3517,15842,7684,4193,1952,Tag0,A
27,100,60,6224,16516,4843,5867,2825,5422,2807,2590,Tag0,A
54,93,56,22590,16759500,5341,7941,9624,4196,10167,1493,Tag0,A
55,93,56,17654,18009,1082,22304,4529,4072,6944,739,Tag0,A
309,70,57,266831,16331,5662,2236,3373,656,531,937,Tag0,A
42,69,54,1087948,294918,91927,16776850,74735,86020,24555,10488,Tag0,A
6,64,60,1149176,98890,16758367,20231,17604,11486,8258,5180,Tag0,A
93,53,43,158685,16744764,3047,2058,4104,1204,1597,379,Tag0,A
18,67,47,11124,13945,9130,13823,19435,4668,7118,12537,Tag0,A
122,66,60,14887,10365,10795,13251,5819,5311,5582,3868,Tag0,A
70,70,64,25878,16755114,4156,28016,6376,5884,8346,3357,Tag0,A
81,87,84,3142,16477,28928,2410,7919,5560,6952,2495,Tag0,A
52,80,88,67716,16753533,16756192,4187,8733,6843,4031,2764,Tag0,A
45,83,80,18056,16746639,24934,3931,6884,11432,9367,2865,Tag0,A
8,80,81,19060,16745362,11834,16589,4407,3831,7540,1294,Tag0,A
26,78,80,16750055,27501,16744717,3643,4849,6658,6784,4065,Tag0,A
42,83,93,3532,8862,16758211,8038,4573,6878,6204,3726,Tag0,A
35,88,91,3619,7300,1139,7444,2937,8312,4843,1892,Tag0,A
83,100,94,5766,9643,16847,5147,4432,8640,10132,3136,Tag0,A
60,100,90,3719,16744539,25074,3323,3907,13956,11424,2076,Tag0,A
11,100,74,8274,22725,5662,10512,5542,3680,8140,3460,Tag0,A
-310,96,74,9101,12553,12026,3906,7379,12233,7234,2747,Tag0,A
28,84,70,556681,16745157,15665,17656,7700,5538,4031,1194,Tag0,A
22,91,67,6970,13942,10097,2071,3152,10291,5909,3080,Tag0,A
21,94,80,12305,14135,16750537,12269,8049,10281,4660,4250,Tag0,A
21,94,75,9106,13224,2525,8205,6993,10378,5980,5906,Tag0,A
376,100,81,410338,5615,8199,5106,2101,2600,770,794,Tag0,A
22,83,56,673731,54374,19729,16763267,21772,16745175,8436,2355,Tag0,A
-326,57,67,882400,16757065,67312,20564,13698,6474,7439,7543,Tag0,A
-374,56,48,667974,267275,13544,16753627,12767,16747008,21180,5151,Tag0,A
19,50,56,141182,78966,13081,13287,16703,7814,9772,2513,Tag0,A
77,38,70,20185,28171,69285,8164,4887,6930,11343,2671,Tag0,A
43,35,93,241893,16763493,78208,24777,8088,6885,11155,1147,Tag0,A
39,44,81,14322,14647,7787,18367,7474,10177,4828,5327,Tag0,A
22,43,100,16745972,26255,75090,5312,1160,6558,2447,3821,Tag0,A
27,51,100,90533,20951,16759780,16745161,13712,16645,11467,2159,Tag0,A
102,56,91,95089,16765298,10971,17905,4575,6305,17804,3728,Tag0,A
24,44,96,38563,16747913,16755480,15724,5612,6501,2794,2562,Tag0,A
-292,38,90,49789,16774718,16770279,24322,6097,3769,3778,3426,Tag0,A
-263,21,94,16776154,16761199,123805,10969,16468,7796,3896,3553,Tag0,A
42,11,100,16757781,16746853,76989,3435,6132,3094,7851,2639,Tag0,A
-266,17,100,16764076,16862,16590,10796,6482,5541,6264,3301,Tag0,A
66,26,100,21097,31007,32112,8346,5856,5258,5560,5654,Tag0,A
35,40,94,45389,23468,23098,30987,12853,9092,16339,4420,Tag0,A
5,51,90,22797,18718,18019,22084,10806,5653,4590,1926,Tag0,A
73,47,91,10102,16759810,28475,16758930,7970,9217,10083,1599,Tag0,A
57,47,93,16755634,16773301,31870,16758938,2580,10692,10093,3603,Tag0,A
68,48,88,93037,10789,11854,2420,2268,3898,1140,585,Tag0,A
-270,41,90,248284,16753705,23060,16768457,11153,5301,6816,3828,Tag0,A
43,43,83,84316,16772150,16760643,5831,3583,11001,9573,2839,Tag0,A
51,43,87,401445,16749830,16744780,31689,5731,7047,9238,8663,Tag0,A
3,38,78,20683,16752649,13731,7375,6488,5814,7661,4900,Tag0,A
7,51,83,80041,17946,16772922,2846,2182,15352,6998,3283,Tag0,A
36,56,88,6313,12290,21783,5741,5438,6318,10370,2006,Tag0,A
71,51,80,424941,54479,32527,16767305,14964,9079,11707,6746,Tag0,A
23,66,83,14848,16856,9572,11958,9736,16925,6584,4561,Tag0,A
56,56,81,13955,16749076,82145,8856,12764,8301,9028,3125,Tag0,A
-282,57,74,12789,21865,12148,13295,9569,7620,8183,3488,Tag0,A
-296,78,77,30635,18821,24973,12978,6784,22993,7288,1795,Tag0,A
16,66,75,646126,16756596,21812,6140,8602,9721,8522,3090,Tag0,A
-259,63,66,45954,72925,18386,16753363,6113,6621,8531,1836,Tag0,A
106,51,78,420336,16745518,73156,26451,20123,6630,3982,6625,Tag0,A
41,47,70,20397,22492,6271,12672,8479,9912,8887,6803,Tag0,A
-292,30,88,16765162,67837,51834,16856,8510,4609,4611,3427,Tag0,A
48,35,100,46190,14426,87915,3536,11305,6938,7307,6559,Tag0,A
53,34,100,16727,77188,145585,18676,8730,9701,5757,6821,Tag0,A
24,26,100,26736,30999,16766380,8114,2978,10481,3123,3118,Tag0,A
1,37,100,22660,30621,16753544,6367,5907,6341,6357,2990,Tag0,A
71,34,100,49056,16756897,81940,14671,25412,6830,9307,2111,Tag0,A
28,38,91,109096,16752515,16751174,10749,4847,5882,11081,970,Tag0,A
114,24,87,402534,59248,55580,15855,6101,7000,6618,1407,Tag0,A
25,23,80,38110,16776460,14292,16745341,5534,7055,6343,3322,Tag0,A
-262,23,90,16749954,24956,89412,9425,6958,6876,7480,1190,Tag0,A
87,27,100,14223,12777,87000,8263,5775,11030,9470,6733,Tag0,A
55,35,100,16760882,19819,134773,12609,5292,10059,12575,2437,Tag0,A
32,41,100,26836,19289,32045,19013,7147,9593,4764,3933,Tag0,A
51,44,100,20350,16746627,49582,17981,10570,12583,4771,3878,Tag0,A
125,43,100,26844,6079,16773030,13372,5018,6875,9133,2566,Tag0,A
41,47,100,180706,16757230,26803,28577,3090,7703,3302,3052,Tag0,A
103,41,97,16746817,16747991,17346,20545,2877,5394,9697,2503,Tag0,A
-259,34,97,31278,16746849,75278,16759242,13535,5296,8564,6703,Tag0,A
51,35,74,723368,80817,26303,16088,13431,13269,8000,4426,Tag0,A
21,35,64,90261,16773726,20506,17167,14032,8916,4457,1938,Tag0,A
17,43,69,13192,12226,16756553,8367,11540,11200,8224,4677,Tag0,A
82,51,54,11473,16745119,19251,14809,19838,5236,6871,1318,Tag0,A
100,48,69,16744986,16753156,16774568,10371,4761,8184,7877,5622,Tag0,A
6,43,88,16760855,24963,69696,17155,4186,6258,8454,5852,Tag0,A
-279,50,78,16745694,12419,5269,15765,8501,10377,8567,2175,Tag0,A
-291,56,83,354337,17083,13952,21974,6989,8546,6622,5516,Tag0,A
-325,57,35,16760985,11681,715,11089,7520,10404,3515,888,Tag0,A
-258,83,47,433535,16769564,7501,10125,9467,21924,4873,2460,Tag0,A
49,88,26,470702,35598,3792,21956,10432,26045,21914,2708,Tag0,A
54,70,34,111431,16777052,16754838,6626,18368,5717,4526,3394,Tag0,A
-258,66,24,427602,81275,13803,16588,16947,16747169,11840,5870,Tag0,A
3,61,38,99853,15135,7211,3559,2752,4527,1354,330,Tag0,A
-322,48,57,1316396,16761920,1551,16766693,23708,8407,3636,2140,Tag0,A
98,64,74,380967,20912,20572,78567,32013,16284,2938,8107,Tag0,A
-1058,38,90,542215,52380,16770765,16759943,23905,11246,5743,1949,Tag0,A
-638,37,90,1388919,347826,45980,152460,144659,48162,12215,8900,Tag0,A
-108,60,61,129117,32361,4031,2640,24199,14564,4543,640,Tag0,A
-362,48,20,301184,111667,4153,8421,11649,13050,16657,947,Tag0,A
20,47,23,590792,139922,16758474,88329,30444,12360,13518,6891,Tag0,A
-259,57,24,579665,9816,3366,6224,3330,7460,1679,416,Tag0,A
-297,26,29,39079,169130,3686,21387,25751,12545,5299,3331,Tag0,A
96,38,54,126853,25983,12225,3424,8142,6174,1682,478,Tag0,A
11,47,43,600074,96826,6358,16746348,21335,11175,7828,2513,Tag0,A
57,35,43,1755722,56870,16751994,16749435,18038,31222,6745,1726,Tag0,A
65,51,61,280268,67212,5606,26465,19490,14751,4197,5665,Tag0,A
23,41,50,349797,199027,22226,18341,14562,16819,2764,4253,Tag0,A
22,40,57,170685,16764995,32274,12882,7437,7359,5175,1684,Tag0,A
-285,40,48,57503,16746238,7105,5017,18335,7109,3987,1876,Tag0,A
107,23,50,49868,16755739,13788,2301,3544,3078,679,366,Tag0,A
84,47,63,42651,19457,13248,7205,9470,13351,8967,2885,Tag0,A
-136,60,57,90427,16773957,16759997,9486,16754154,21875,6984,4436,Tag0,A
-278,44,74,2218093,170464,16773237,135934,16754980,24758,29289,2398,Tag0,A
7,51,80,442819,132268,16761329,16758247,13877,18175,4436,2434,Tag0,A
35,26,54,607814,192588,2016,20776,12137,19880,13601,4506,Tag0,A
39,26,61,81042,26324,22541,6111,6096,9144,5284,2284,Tag0,A
104,38,69,16749391,24246,29368,16746912,16892,10748,2683,4174,Tag0,A
103,51,66,673265,23798,8695,12749,18077,8342,961,4660,Tag0,A
1,57,100,25746,27502,6743,16750742,10329,7343,3353,1339,Tag0,A
-296,35,100,16759955,66673,16754485,16750898,7869,6236,3352,1496,Tag0,A
71,26,88,324700,34679,8697,16753959,24337,10868,5478,2438,Tag0,A
6,26,100,25310,4184,19913,16754240,12594,14201,3572,1232,Tag0,A
29,23,96,16850,16761352,5813,16753834,13744,7246,4744,5391,Tag0,A
33,35,91,16753107,19353,7999,16745849,18797,5999,4193,1642,Tag0,A
18,43,96,34127,16744516,20654,8603,4178,7915,3051,1717,Tag0,A
-279,47,88,11508,6116,11709,16173,13419,7942,2902,1116,Tag0,A
53,43,94,23806,31325,16745095,14398,6004,5109,4191,1603,Tag0,A
112,56,87,13982,28755,9529,18006,15320,11455,1652,1744,Tag0,A
-342,69,90,169676,16749635,85174,89301,86400,16774995,7255,1408,Tag0,A
51,54,84,217890,19200,5493,10714,8382,2881,1589,1006,Tag0,A
21,63,84,47363,10554,16744661,13899,20396,6870,5594,5324,Tag0,A
-657,51,66,35607,16772901,4714,4600,21858,6871,2986,2376,Tag0,A
56,47,66,874299,16758596,16767026,66323,16765124,16754422,8102,3031,Tag0,A
-279,41,57,1351587,79752,12771,14999,10113,6313,2649,1131,Tag0,A
69,41,48,2052712,86067,27926,16748948,17145,18041,7726,2030,Tag0,A
33,53,64,19880,22550,4593,12710,6350,7795,4558,3164,Tag0,A
18,56,61,16770300,8587,4030,23032,25831,10545,3518,3647,Tag0,A
-261,80,63,11898,27635,6059,10865,9461,12498,4212,1350,Tag0,A
-265,60,67,83364,16776582,16760211,18685,15623,3811,5189,3212,Tag0,A
10,66,80,8949,7876,18620,16486,8062,13283,4773,2519,Tag0,A
69,61,77,64625,27317,15111,9139,13583,11387,3526,1051,Tag0,A
58,47,93,19540,16239,18948,28152,13474,6071,1469,1266,Tag0,A
10,60,94,132928,16751506,32627,16754709,19704,8935,3202,739,Tag0,A
7,51,94,467181,17976,20017,29544,12129,13337,1880,942,Tag0,A
26,53,100,27917,11210,4553,13992,5794,7187,3118,1160,Tag0,A
0,47,90,16750292,16768770,19768,11988,5460,5404,2478,1646,Tag0,A
55,14,48,675837,43643,3224,24260,23386,5432,2802,136,Tag0,A
-62,17,44,58947,31869,6765,22171,21200,5770,1277,1342,Tag0,A
8,24,37,709954,86181,16766130,4602,23019,16058,14846,3365,Tag0,A
-261,30,69,31881,31557,16771877,25341,8765,10155,4711,1887,Tag0,A
41,54,96,16750013,25658,77051,24334,16751146,15803,11964,2073,Tag0,A
6,77,81,16747353,25812,7195,4143,17115,10480,2193,2275,Tag0,A
0,90,80,60903,29552,18795,4509,9704,11291,5820,1732,Tag0,A
90,100,64,22078,14719,19763,23674,16746711,15746,5657,1777,Tag0,A
-266,100,54,370349,16769121,16750859,7518,7742,9407,6194,2218,Tag0,A
36,100,54,16748633,15376,4460,3888,15051,10106,1737,726,Tag0,A
39,94,51,70342,17954,3248,9891,13952,4979,1713,1379,Tag0,A
61,61,53,16756650,37703,24872,16768720,14475,11019,4948,1780,Tag0,A
64,51,38,31907,73027,9394,9311,15744,5911,2158,1375,Tag0,A
-284,41,53,32385,16756976,16746272,15629,15516,18587,3554,1685,Tag0,A
-261,40,63,19789,18395,7325,19688,13596,6285,2367,1270,Tag0,A
84,43,69,28870,16746768,16764003,3026,8821,6493,5092,223,Tag0,A
50,47,100,31413,9290,75500,4293,20939,6723,2211,940,Tag0,A
13,24,90,16773950,16763039,11731,11023,12051,4077,2851,981,Tag0,A
-265,8,83,19375,54948,16752550,28224,13474,9126,2987,2611,Tag0,A
29,23,63,5014,28814,4070,13396,22847,7210,4967,629,Tag0,A
-283,8,41,24421,70883,25637,9844,16794,3270,4391,2090,Tag0,A
13,17,48,19909,16758404,23459,12750,9204,8614,2361,1478,Tag0,A
86,35,54,79643,16753209,16754913,16746051,16744923,15873,2098,1604,Tag0,A
-262,40,75,11903,13909,12488,16747153,11796,15128,5244,1288,Tag0,A
38,67,75,16761702,16773505,26402,9682,12236,17720,2780,1746,Tag0,A
4,78,81,1376,21267,16746476,9985,5394,14744,1799,857,Tag0,A
10,69,74,134419,16773651,32008,3609,5957,6621,1920,1437,Tag0,A
16,63,74,19307,15206,30911,9744,9003,8179,2922,851,Tag0,A
25,54,77,25508,26623,4266,17183,10602,4296,2254,1051,Tag0,A
25,53,60,889999,84819,13950,15358,6819,21573,3612,1370,Tag0,A
50,40,66,16766903,92309,16767877,13546,9842,2450,3973,1183,Tag0,A
-296,21,69,81061,86508,79750,35383,26956,8561,1741,1344,Tag0,A
-263,17,70,16761294,87168,11787,16757188,4037,7232,2673,1566,Tag0,A
-258,20,80,73041,26523,26102,8815,28222,11421,3101,442,Tag0,A
87,37,84,91653,16756871,16757122,25774,17215,6630,3183,1569,Tag0,A
34,54,74,16746086,16768367,16757480,4341,4377,13283,2917,1406,Tag0,A
16,70,74,16758318,16134,7516,13947,8243,7317,2162,2759,Tag0,A
53,54,70,232216,76330,29207,8715,10809,5944,4362,1110,Tag0,A
20,56,61,82112,85487,16746241,25563,20560,8568,2664,833,Tag0,A
38,54,56,16764764,16754210,20883,3452,10236,7687,987,930,Tag0,A
75,53,56,16758124,26820,29871,9575,20654,11537,1998,1616,Tag0,A
61,56,78,156267,16747097,85101,26172,6029,9664,1511,389,Tag0,A
16,66,83,16760751,16752852,21025,26025,8743,10697,6270,1957,Tag0,A
28,61,94,91242,16748196,68462,11334,28854,9927,4445,3095,Tag0,A
23,66,93,16745813,17701,1320,17503,7715,8138,5807,391,Tag0,A
2,60,64,16744902,16754207,2817,12583,17893,2264,1417,984,Tag0,A
27,66,56,81997,16753924,8990,17393,4418,14916,794,1104,Tag0,A
41,74,40,12595,16746492,6628,6797,11487,5708,210,843,Tag0,A
81,50,37,16765558,76840,25154,9292,4136,5091,1356,834,Tag0,A
10,51,51,25982,30202,23650,15585,19038,3054,1141,789,Tag0,A
90,23,44,16758443,80632,20018,4660,13628,2264,6203,532,Tag0,A
35,21,56,93353,16764105,30575,14381,8899,10631,907,749,Tag0,A
36,13,75,16766591,16752308,74457,13443,3988,3304,972,2205,Tag0,A
56,20,84,30749,6738,16752450,4203,16441,3226,2870,1412,Tag0,A
8,37,87,16745409,16752838,8742,6998,6118,4330,4648,756,Tag0,A
32,21,81,28868,85109,16744594,3301,5766,4241,3705,1390,Tag0,A
60,41,77,16755982,15086,28479,8550,7352,5567,1602,1203,Tag0,A
7,50,50,6605,16748413,9009,4100,15675,6999,1055,1234,Tag0,A
20,54,54,20509,16764426,18419,14171,8212,9097,986,2951,Tag0,A
27,41,54,16752452,27679,13211,22698,10367,9872,13109,6578,Tag0,A
38,61,67,24985,20049,16746422,20437,11635,15121,24120,8689,Tag0,A
32,78,78,74916,16757595,20709,12179,13201,9102,25767,6225,Tag0,A
68,74,69,32067,16750083,30400,6868,13573,10497,14231,3397,Tag0,A
39,78,63,9250,16744981,9724,13857,9741,11215,11577,2355,Tag0,A
-306,69,57,354156,16746685,16745892,23653,15635,8786,5995,2701,Tag0,A
20,61,57,16760037,16765090,16751252,15335,30453,8951,9561,2481,Tag0,A
12,63,60,17083,16858,9508,7256,11439,7801,5625,3623,Tag0,A
37,67,66,12590,28520,8003,27269,11369,12229,6178,3945,Tag0,A
8,69,57,20503,16765815,19851,18590,25577,9697,3784,3168,Tag0,A
53,90,56,42740,8863,8825,9023,15217,9539,6252,1891,Tag0,A
52,88,66,16750734,13263,5406,16752222,13621,11283,4754,1878,Tag0,A
-267,83,74,69438,16169,28901,8773,6323,7971,3341,1808,Tag0,A
67,83,74,69438,16169,28901,8773,6323,7971,3341,1808,Tag0,A
42,100,77,15833,13139,12573,13899,11082,18774,2047,1792,Tag0,A
-289,96,75,10503,27554,12674,16745001,3827,11843,3766,2063,Tag0,A
23,100,77,20631,7062,5247,23000,2593,8454,3637,5536,Tag0,A
77,78,84,31208,24238,20702,12129,6449,5956,4714,2899,Tag0,A
-260,70,93,5791,4284,16747037,4679,15778,12299,3065,3424,Tag0,A
42,69,100,18228,11329,10712,78215,19858,13359,9645,4799,Tag0,A
32,70,94,29662,16046,6516,16749188,8314,18271,8570,3297,Tag0,A
106,75,97,352400,27457,26602,16759492,21221,11303,4760,3134,Tag0,A
60,57,100,32524,16751286,12424,45729,9181,13852,4422,3293,Tag0,A
56,66,81,16765123,16753686,7286,12539,10355,16151,4166,1398,Tag0,A
26,61,88,23674,7923,11139,31087,6230,10817,17588,4477,Tag0,A
72,63,91,16760091,17654,16612,16752465,5683,10142,10820,1704,Tag0,A
16,56,93,78280,23404,11166,91630,13116,6036,6167,2999,Tag0,A
57,56,94,15027,16755838,13640,8924,7692,17218,6694,2158,Tag0,A
51,54,88,20391,11413,9909,14316,9775,6276,3371,1208,Tag0,A
3,53,93,67000,8624,16744518,30117,8616,8264,1592,932,Tag0,A
54,57,88,29450,13340,4392,16759275,12601,4990,1435,1901,Tag0,A
116,43,100,8758,25497,16757729,21014,8557,6821,2614,235,Tag0,A
20,26,100,52191,75522,94663,16750808,4263,9473,5630,2104,Tag0,A
44,16,100,16758860,16761307,27893,16746790,26701,6245,3069,946,Tag0,A
25,23,100,146365,16752068,16763327,16765100,7970,16148,2071,1093,Tag0,A
12,30,87,16747703,16759779,13878,21578,8421,11773,2442,1457,Tag0,A
57,54,81,16774775,7902,18021,29179,19165,16378,2978,1568,Tag0,A
48,75,80,16758144,12956,11553,14597,13683,10346,6459,1650,Tag0,A
66,69,78,27026,28858,16749707,23172,12341,7511,4521,1700,Tag0,A
0,69,78,16389,16749647,9350,26710,22997,9108,5777,2561,Tag0,A
21,56,75,16753582,13438,17272,14231,18122,5395,3358,1265,Tag0,A
-282,44,78,16758195,16747339,13447,29380,6569,7790,10031,1171,Tag0,A
50,69,57,16769864,6563,3793,5020,18180,11038,7884,3237,Tag0,A
19,69,75,23441,14270,29783,16760577,13516,11486,1880,3340,Tag0,A
22,78,75,31361,8991,9334,7488,7516,5758,6120,752,Tag0,A
35,100,70,22703,9426,6960,22646,9928,25354,5316,1437,Tag0,A
18,90,74,17622,29412,6580,8542,9317,10735,5314,5580,Tag0,A
-127,100,60,3998,11157,12070,8608,10185,11455,3619,1447,Tag0,A
2,96,66,70734,17597,31900,16744423,14311,11652,3442,1550,Tag0,A
26,90,66,86531,10617,15560,27231,16746163,18754,4704,1719,Tag0,A
20,83,90,24665,9212,15450,16750441,5577,10074,3750,6013,Tag0,A
81,69,80,31824,16766177,4556,14749,6153,10962,8750,3289,Tag0,A
44,70,69,16769201,16752964,22482,26685,26033,13841,2648,1262,Tag0,A
-262,67,70,31732,24049,16374,20215,10997,17400,3140,2061,Tag0,A
58,66,56,92409,16775157,9484,16753943,5067,13908,5185,3233,Tag0,A
7,74,61,56271,16769699,8325,25621,8728,20352,9410,2159,Tag0,A
82,75,50,16751022,21664,7232,4278,16833,6243,5724,1976,Tag0,A
24,57,60,16767735,16746145,26494,66666,7148,10035,3762,2403,Tag0,A
8,69,61,16748485,16126,10278,21543,14424,14723,6867,673,Tag0,A
24,54,74,16746285,27956,71286,16746194,12868,7515,5106,1182,Tag0,B
59,48,94,16504,8017,12783,21310,13781,4971,5162,1710,Tag0,B
24,53,87,16699,24630,13767,12265,9149,6819,4895,1674,Tag0,B
29,54,77,16747406,20689,8019,16277,10356,5715,2875,1476,Tag0,B
20,77,63,5788,17390,21763,2908,4323,12212,4423,1702,Tag0,B
54,70,48,21865,16761069,15138,9841,10607,5979,1168,1180,Tag0,B
38,63,48,7924,16762636,29707,12542,14335,6663,4319,1558,Tag0,B
20,64,47,12840,30692,19146,6550,15196,8000,4350,1497,Tag0,B
44,56,30,29520,27284,2995,3505,4245,4731,3210,823,Tag0,B
-292,56,48,26854,20473,16751166,17180,5240,5648,3534,1334,Tag0,B
26,57,60,28228,16746885,16775036,13116,4050,9563,1596,1205,Tag0,B
41,63,64,14951,8561,9300,17070,21876,8019,2033,1068,Tag0,B
72,60,88,16752711,10020,24423,14890,8924,5260,1910,1151,Tag0,B
23,63,84,23497,8303,32623,3450,15303,3875,3713,1560,Tag0,B
29,57,91,6647,18146,16752268,20476,3266,4436,2745,1002,Tag0,B
44,37,97,11399,23993,26283,16813,3849,2711,3601,1150,Tag0,B
43,47,81,15454,4513,2424,5237,12193,2851,3194,1559,Tag0,B
35,50,74,9645,14086,11001,1178,4200,3434,405,622,Tag0,B
23,43,66,8640,16750958,84386,17407,18849,4730,1850,985,Tag0,B
32,43,69,10318,28968,74099,1857,13187,3813,1983,1374,Tag0,B
28,35,77,12527,17976,7749,8304,3735,4453,1325,805,Tag0,B
12,38,80,3860,14536,16659,7092,7734,5751,3667,707,Tag0,B
24,51,81,10878,10026,25739,6876,3768,4312,1002,1793,Tag0,B
25,57,87,27424,14318,16754476,16047,6113,4731,2187,983,Tag0,B
20,61,81,3476,15976,6152,5462,5878,4327,2248,1252,Tag0,B
51,51,77,16755592,28920,16397,7719,11405,3482,3601,1100,Tag0,B
17,48,70,68237,14453,23466,6950,7740,3456,1236,1254,Tag0,B
2,60,60,4272,16550,15135,10022,6661,6852,3040,617,Tag0,B
73,48,78,4163,28747,80237,9987,8377,7255,2323,1286,Tag0,B
-281,40,94,9048,27396,79168,16745273,14746,5498,3846,2419,Tag0,B
44,34,91,17765,16750069,16747870,7193,2992,3807,3927,2141,Tag0,B
26,26,100,15372,10997,31653,6926,8079,4978,2423,418,Tag0,B
83,29,84,26954,16745434,23823,4571,10868,5336,2005,708,Tag0,B
64,34,60,28714,16747099,3576,8317,4860,2096,1236,687,Tag0,B
19,41,69,15493,3247,26350,3481,6605,3183,2448,1036,Tag0,B
-281,35,74,20949,21466,84119,12951,15884,6541,3543,1442,Tag0,B
-261,47,64,5163,27409,10966,2462,12379,9607,2590,1411,Tag0,B
32,54,81,29963,24185,13879,16750246,8941,6729,1986,1452,Tag0,B
34,54,74,13674,20529,16810,12514,3924,4465,1355,1122,Tag0,B
2,54,57,32069,16765491,30373,10669,8049,4642,2352,1444,Tag0,B
51,56,70,20123,12846,21939,1277,3649,9200,2158,1029,Tag0,B
4,54,64,3602,25233,14334,5701,1437,3343,1593,1361,Tag0,B
10,34,78,16744916,16745308,212750,20600,10801,4687,3036,810,Tag0,B
35,38,78,16753379,20807,1504,22357,12335,3225,1551,808,Tag0,B
0,17,60,16744925,75947,11908,8319,14518,4763,2893,662,Tag0,B
59,29,69,12182,7388,16749300,7704,7612,8507,1238,1572,Tag0,B
3,43,53,23888,20891,22586,10056,10799,2805,1229,1334,Tag0,B
-94,30,69,11594,13885,75075,11148,11172,3088,1663,2195,Tag0,B
-279,23,81,24474,16769079,16751980,11076,10129,3148,2006,643,Tag0,B
-258,14,77,13991,9670,18038,23446,17264,4676,2037,1027,Tag0,B
-263,10,67,26777,91276,23784,26326,31602,4615,3177,1172,Tag0,B
54,27,60,4926,12174,16749198,4655,9089,7297,3205,786,Tag0,B
22,40,64,26029,19269,30208,6246,3881,3671,618,1069,Tag0,B
10,37,61,32123,25585,32475,11736,16673,5503,1894,1387,Tag0,B
57,54,67,12044,16744511,18572,13204,8281,8373,1002,3741,Tag0,B
24,56,50,11933,27919,5252,6216,8040,6129,2109,706,Tag0,B
70,53,56,11657,14718,16755813,10536,6705,3630,1509,189,Tag0,B
4,44,74,8856,8644,38835,8666,4228,4751,1945,527,Tag0,B
36,48,78,11200,7637,8550,15338,7881,5431,1537,1249,Tag0,B
-292,41,74,13494,18636,18597,11825,16050,7545,1727,505,Tag0,B
51,37,78,12231,28422,19048,14669,6506,9149,1694,453,Tag0,B
37,23,74,16744683,16750368,12502,18477,8698,2156,5160,1918,Tag0,B
54,38,75,19772,12755,5199,14703,10496,4551,2349,612,Tag0,B
-69,35,67,5407,17385,5719,9239,16203,3676,1762,2084,Tag0,B
56,23,56,141797,16745286,3042,10140,6620,2246,243,360,Tag0,B
75,29,44,132408,16769057,7433,11111,4541,3913,7426,1588,Tag0,B
32,23,20,10736,16767221,3296,2548,5428,5499,3824,3865,Tag0,B
8,40,29,20311,2914,8566,968,3093,6265,2054,1121,Tag0,B
19,51,29,26882,16722,7518,1488,8874,3719,1030,453,Tag0,B
3,60,34,89177,16749667,12326,5628,7083,5977,1688,2073,Tag0,B
8,70,51,23907,14375,3257,7053,6280,5819,1433,978,Tag0,B
69,53,63,93323,5616,15135,18122,2203,3795,2880,2604,Tag0,B
36,48,77,16755045,13736,16746561,11356,21322,5649,6361,1975,Tag0,B
